Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SiteCoreWebSite,Chrome 73.0.3683.103,,2019-04-29 12:00:58,2019-04-29 12:01:12,13.417s,PASSED
,,,,,,
Test Cases/Launch Website,Chrome 73.0.3683.103,,2019-04-29 12:00:59,2019-04-29 12:01:12,13.030s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-29 12:00:59,2019-04-29 12:01:03,3.903s,PASSED
"navigateToUrl(""https://sit-www.urbanutilities.com.au/"")",Chrome 73.0.3683.103,,2019-04-29 12:01:03,2019-04-29 12:01:06,3.167s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-29 12:01:06,2019-04-29 12:01:07,0.772s,PASSED
"mouseOver(findTestObject(""Object Repository/SiteCoreWebSite/Page_Home - Queensland Urban Utilities/a_Residential""), STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-29 12:01:07,2019-04-29 12:01:07,0.233s,PASSED
Thread.sleep(1000),Chrome 73.0.3683.103,,2019-04-29 12:01:07,2019-04-29 12:01:08,1.010s,PASSED
"click(findTestObject(""Object Repository/SiteCoreWebSite/Page_Home - Queensland Urban Utilities/a_Payment options""))",Chrome 73.0.3683.103,,2019-04-29 12:01:08,2019-04-29 12:01:10,2.281s,PASSED
"click(findTestObject(""Object Repository/SiteCoreWebSite/Page_Payment options - Queensland Urban Utilities/a_Apply online""))",Chrome 73.0.3683.103,,2019-04-29 12:01:10,2019-04-29 12:01:12,1.095s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-29 12:01:12,2019-04-29 12:01:12,0.111s,PASSED
